강서구,개화동,개화12길
마포구,동교동,연남
도봉구,방학동,방학
마포구,상암동,한강난지
성동구,송정동,송정12가길
관악구,신림동,서림3길
구로구,구로동,서부샛길
강서구,공항동,하늘길
영등포구,여의도동,여의나루
성동구,성수동2가,둘레15길
서초구,반포동,주흥5길
종로구,사직동,경희궁3가길
송파구,삼전동,석촌호수
용산구,남영동,한강대
서초구,염곡동,탑성말길
종로구,신문로2가,경희궁3나길
서대문구,홍은동,홍지문2길
종로구,원남동,율곡
종로구,팔판동,삼청
종로구,장사동,돈화문
금천구,가산동,범안
성동구,사근동,사근동9가길
종로구,관수동,돈화문
송파구,오금동,마천
중구,저동2가,삼일대
금천구,독산동,가산
은평구,녹번동,진흥
송파구,송파동,석촌호수
강남구,대치동,선릉
노원구,상계동,노해
서대문구,충정로3가,경기대
서초구,우면동,성촌길
서초구,서초동,효령
성북구,안암동5가,인촌
용산구,한남동,다산
서초구,원지동,원터4길
성동구,성수동1가,상원6나길
종로구,창신동,창신4가길
강남구,논현동,학동
광진구,구의동,영화사
동대문구,회기동,이문
성동구,하왕십리동,무학봉15다길
성동구,성수동2가,둘레9길
성동구,송정동,송정2길
종로구,관훈동,인사동7길
서대문구,대신동,봉원사길
종로구,동숭동,동숭4라길
강남구,개포동,언주
동대문구,용두동,안암
종로구,명륜1가,성균관
구로구,개봉동,경인
성북구,정릉동,아리랑
용산구,신계동,청파
강북구,미아동,도봉
관악구,신림동,서원6길
용산구,동자동,한강대
성북구,삼선동1가,창경궁
성동구,하왕십리동,무학봉16길
서초구,우면동,형촌9길
성북구,정릉동,솔샘
관악구,신림동,서원10길
동대문구,전농동,사가정
서대문구,홍은동,포방터6길
송파구,가락동,송파대
마포구,신수동,백범
구로구,신도림동,새말
서대문구,북아현동,경기대
종로구,효제동,창경궁
중랑구,묵동,숙선옹주
관악구,신림동,신사
관악구,남현동,남현4길
종로구,신영동,진흥
종로구,세종로,삼청
종로구,효자동,자하문
광진구,군자동,면목
서초구,방배동,청두곶11길
종로구,평동,통일
양천구,신월동,달맞이길
종로구,이화동,이화장1나길
서대문구,남가좌동,명지대1다길
용산구,동자동,청파
마포구,공덕동,마포대
관악구,봉천동,한솔길
관악구,신림동,난향12길
성동구,행당동,무학봉26길
종로구,낙원동,인사동길
중구,순화동,세종대
양천구,신월동,국회대
마포구,연남동,월드컵북
성북구,길음동,서경
양천구,신정동,오목
관악구,봉천동,장군봉6길
서초구,우면동,성촌7길
송파구,잠실동,올림픽
마포구,창전동,독막
노원구,중계동,공릉
영등포구,영등포동,영등포
성북구,삼선동3가,보문
마포구,대흥동,독막
송파구,신천동,올림픽
관악구,신림동,대학4길
종로구,명륜2가,혜화
양천구,신월동,절골4길
마포구,토정동,토정
종로구,당주동,새문안
강동구,성내동,천호옛17길
관악구,봉천동,인헌23길
관악구,신림동,서원5길
용산구,한강로3가,새창
광진구,구의동,워커힐
관악구,봉천동,인헌16나길
성동구,금호동2가,금호산길
서초구,원지동,원터6길
도봉구,방학동,도당
성동구,금호동3가,무수막5가길
성동구,상왕십리동,난계
종로구,삼청동,팔판길
중구,필동3가,퇴계
서초구,방배동,청두곶15길
중랑구,묵동,중랑천
영등포구,영등포동1가,경인
마포구,신수동,토정
중구,입정동,청계천
마포구,노고산동,신촌
송파구,삼전동,삼전
관악구,신림동,양지길
성동구,마장동,살곶이길
종로구,동숭동,동숭4길
종로구,도렴동,새문안
종로구,충신동,김상옥
서초구,우면동,성촌4길
용산구,신계동,새창
마포구,대흥동,신촌
영등포구,영등포동7가,버드나루
마포구,신공덕동,독막
서대문구,봉원동,봉원사2길
관악구,신림동,신림동2길
서초구,염곡동,양재대
송파구,풍납동,바람드리16길
은평구,응암동,증산
성북구,보문동4가,안암
성동구,금호동2가,무수막길
중구,을지로2가,명동3길
송파구,석촌동,석촌호수
서초구,반포동,서래
서초구,반포동,반포대
서초구,내곡동,샘마을길
성동구,금호동3가,금호산길
서초구,서초동,사임당
마포구,동교동,월드컵북
종로구,누상동,옥인2길
관악구,신림동,서원3길
은평구,응암동,서오릉
종로구,평창동,평창16길
용산구,보광동,서빙고
종로구,옥인동,필운대
강서구,내발산동,강서
성북구,삼선동4가,삼선교
영등포구,신길동,신풍
강남구,수서동,광평
은평구,응암동,백련산
성동구,성수동1가,상원12길
성동구,용답동,용답9길
성북구,삼선동5가,삼선교
서초구,신원동,청룡마을4길
성동구,금호동1가,금호
마포구,염리동,숭문16가길
강동구,암사동,상암
광진구,광장동,영화사
서초구,양재동,언남18길
중구,을지로7가,을지
관악구,신림동,대학12길
서대문구,연희동,연희맛
중구,황학동,청계천
성북구,석관동,한천
서대문구,대현동,이화여대2나길
용산구,이태원동,장문
양천구,신정동,신정이펜1
은평구,대조동,연서
서초구,서초동,남부순환
관악구,봉천동,인헌13길
성동구,금호동2가,금호산14길
영등포구,양평동2가,선유서
동대문구,답십리동,사가정
관악구,남현동,승방1길
중구,명동2가,명동10길
마포구,합정동,월드컵
강남구,일원동,일원
도봉구,쌍문동,방학
용산구,한남동,독서당
종로구,창신동,창신5길
관악구,봉천동,당곡6다길
성동구,도선동,고산자
성동구,금호동3가,매봉18길
성동구,행당동,살곶이6길
은평구,응암동,가좌
종로구,구기동,비봉2길
강동구,천호동,상암
서초구,방배동,전원말4길
동대문구,휘경동,서울시립대
관악구,신림동,법원단지36길
동대문구,휘경동,외대역동
종로구,운니동,율곡
마포구,합정동,성지1길
구로구,천왕동,오리
노원구,공릉동,화랑
도봉구,도봉동,도당
양천구,신월동,신월
중구,충무로4가,창경궁
강남구,일원동,남부순환
중랑구,묵동,봉화산
성북구,장위동,화랑
성북구,보문동3가,보문사길
광진구,군자동,천호대
관악구,봉천동,청림5나길
구로구,궁동,경인
용산구,용산동2가,신흥
종로구,창신동,율곡
중구,신당동,장충단
관악구,신림동,문성
마포구,도화동,마포대
종로구,안국동,윤보선길
구로구,가리봉동,우마2가길
종로구,원서동,창덕궁길
송파구,잠실동,한가람
은평구,진관동,진관2
영등포구,여의도동,여의공원
마포구,창전동,와우산
강동구,길동,천중
송파구,풍납동,바람드리22길
종로구,부암동,백석동1길
성동구,용답동,용답25가길
종로구,창신동,창신5마길
관악구,남현동,남현3길
중구,필동3가,서애
서대문구,홍제동,홍제내길
성동구,성수동2가,연무장13길
종로구,창성동,자하문
종로구,평창동,평창36길
마포구,창전동,서강
용산구,원효로3가,원효
종로구,신영동,평창문화
종로구,부암동,인왕산
강북구,번동,월계
성동구,용답동,용답길
용산구,효창동,임정
용산구,이태원동,우사단
서대문구,신촌동,연대동문길
양천구,신월동,청황2길
종로구,종로3가,돈화문
마포구,망원동,마포나루길
성동구,마장동,살곶이2나길
중랑구,상봉동,중랑천
용산구,원효로2가,효창원
성북구,삼선동5가,보문
중랑구,신내동,용마산
종로구,창신동,낙산길
마포구,염리동,숭문16다길
서초구,원지동,양재대
양천구,목동,오목
성북구,길음동,정릉
서초구,양재동,언남길
양천구,신월동,절골9길
종로구,계동,계동4길
성동구,성수동2가,동일
종로구,가회동,창덕궁길
중구,충무로1가,소공
관악구,봉천동,쑥고개
